test_type,sync_type,num_threads,execution_time_ms,throughput_ops_ms,cpu_utilization_percent,final_counter,expected_counter,is_correct
PROCESOS,CON_SYNC,1,13.72,36432.53,95.73,500000,500000,true
HILOS,CON_SYNC,1,13.40,37324.57,76.77,500000,500000,true
PROCESOS,SIN_SYNC,1,1.67,298864.32,88.52,500000,500000,true
HILOS,SIN_SYNC,1,0.06,8620689.66,129.31,500000,500000,true
PROCESOS,CON_SYNC,2,61.66,16217.18,136.19,1000000,1000000,true
HILOS,CON_SYNC,2,60.26,16594.21,144.53,1000000,1000000,true
PROCESOS,SIN_SYNC,2,4.38,228310.50,185.09,595110,1000000,false
HILOS,SIN_SYNC,2,0.07,14084507.04,177.46,1000000,1000000,true
PROCESOS,CON_SYNC,3,77.06,19466.61,122.47,1500000,1500000,true
HILOS,CON_SYNC,3,63.38,23664.90,85.11,1500000,1500000,true
PROCESOS,SIN_SYNC,3,5.83,257113.47,116.44,1177394,1500000,false
HILOS,SIN_SYNC,3,0.60,2479338.84,38.68,1500000,1500000,true
PROCESOS,CON_SYNC,4,95.07,21037.13,121.75,2000000,2000000,true
HILOS,CON_SYNC,4,115.18,17363.67,150.09,2000000,2000000,true
PROCESOS,SIN_SYNC,4,7.71,259504.35,204.04,1145695,2000000,false
HILOS,SIN_SYNC,4,0.19,10309278.35,114.95,2000000,2000000,true
PROCESOS,CON_SYNC,6,155.03,19351.09,119.99,3000000,3000000,true
HILOS,CON_SYNC,6,193.21,15527.31,132.51,3000000,3000000,true
PROCESOS,SIN_SYNC,6,11.83,253678.34,321.23,1381681,3000000,false
HILOS,SIN_SYNC,6,0.16,18292682.93,179.27,3000000,3000000,true
PROCESOS,CON_SYNC,8,217.46,18394.36,150.09,4000000,4000000,true
HILOS,CON_SYNC,8,231.51,17278.10,114.10,4000000,4000000,true
PROCESOS,SIN_SYNC,8,18.34,218054.95,75.49,3752130,4000000,false
HILOS,SIN_SYNC,8,1.53,2612671.46,40.43,4000000,4000000,true
PROCESOS,CON_SYNC,12,315.35,19026.30,116.84,6000000,6000000,true
HILOS,CON_SYNC,12,351.68,17060.92,144.79,6000000,6000000,true
PROCESOS,CON_SYNC,16,423.46,18891.94,123.76,8000000,8000000,true
HILOS,CON_SYNC,16,503.38,15892.63,136.00,8000000,8000000,true
PROCESOS,CON_SYNC,20,528.47,18922.66,120.87,10000000,10000000,true
HILOS,CON_SYNC,20,643.85,15531.57,140.65,10000000,10000000,true
